tweet,label,negation_flag,intensifier_flag,annotated_tweet,text
اي قسم وربي حزن مادري اتضايق ان طلبيتي لسا ماجت ولا عشان رمضان بيخلص ولا وش الوقت قاعد يداهمنا,1,0,0,قسم وربي حزن مادري اتضايق طلبيتي لسا ماجت ولا عشان رمضان بيخلص ولا الوقت قاعد يداهمنا,اي قسم وربي حزن مادري اتضايق ان طلبيتي لسا ماجت ولا عشان رمضان بيخلص ولا وش الوقت قاعد يداهمنا
ايه يا دماغي ما تفتكريلنا حاجة عدلة بدل المواضيع الي تخنق وتجيب اكتئاب دي,1,1,0,ايه دماغي تفتكريلنا حاجه عدله بدل المواضيع الي تخنق وتجيب اكتئاب,ايه يا دماغي ما تفتكريلنا حاجه عدله بدل المواضيع الي تخنق وتجيب اكتئاب دي
الاكتئاب في البداية راح اتكلم عن اسباب اصابتي بهذا المرض حقيقة ما حصل لي من صدمات خلال سنوات ,1,1,0,الاكتئاب البدايه راح اتكلم اسباب اصابتي بهذا المرض حقيقه حصل صدمات خلال سنوات,الاكتئاب في البدايه راح اتكلم عن اسباب اصابتي بهذا المرض حقيقه ما حصل لي من صدمات خلال سنوات
ويبقي الانتحار هو الحل,1,0,0,ويبقي الانتحار الحل,ويبقي الانتحار هو الحل
كآبه تعرفون شي يبعدها 🏃🏻‍♀️,1,0,0,كابه تعرفون يبعدها 🏃🏻‍♀️,كابه تعرفون شي يبعدها 🏃🏻♀️
"ليت ابي ما شآب ولا مرض ولا حزن _x000D_
 ولا مات 💔🥀",1,1,0,ليت ابي شاب ولا مرض ولا حزن ولا مات,ليت ابي ما شاب ولا مرض ولا حزن _x<NUM>D_ ولا مات 💔🥀
"لأسف دى اسوء فترة بعديها ف حياتى بعيدا عن الإكتئاب و القلق _x000D_
لا دا اكتئاب و قلق و ضغط نفسى و ايه زيطة",1,1,0,لاسف اسوء فتره بعديها حياتي بعيدا الاكتئاب القلق اكتئاب قلق ضغط نفسي ايه زيطه,لاسف دي اسوء فتره بعديها ف حياتي بعيدا عن الاكتئاب و القلق _x<NUM>D_لا دا اكتئاب و قلق و ضغط نفسي و ايه زيطه
ياخي مالي خلق ادخل تويتر جانب اكتئاب 🤢,1,0,0,ياخي مالي خلق ادخل تويتر جانب اكتئاب,ياخي مالي خلق ادخل تويتر جانب اكتئاب 🤢
اكتئاب وضيقة يوم السبت حتى بالاجازة ملاحقتنا 🥴,1,0,0,اكتئاب وضيقه يوم السبت حتي بالاجازه ملاحقتنا,اكتئاب وضيقه يوم السبت حتي بالاجازه ملاحقتنا 🥴
اكتئاب ورهاب 🥺,1,0,0,اكتئاب ورهاب,اكتئاب ورهاب 🥺
كم تضاحكتَ عِندما كنتُ أبكي,1,0,0,تضاحكت عندما كنت ابكي,كم تضاحكت عندما كنت ابكي
زهقت من القلق والتوتر الي الواحد عايشه من ساعة الكورونا ومش مجرد قلقه على نفسه الي مأثر نفسيا ,1,0,0,زهقت القلق والتوتر الي الواحد عايشه ساعه الكورونا ومش مجرد قلقه علي نفسه الي ماثر نفسيا,زهقت من القلق والتوتر الي الواحد عايشه من ساعه الكورونا ومش مجرد قلقه علي نفسه الي ماثر نفسيا
أنظني في وضعنا هذا الانتحار حلال,1,0,0,انظني وضعنا الانتحار حلال,انظني في وضعنا هذا الانتحار حلال
"كِذبه تواسي قلبي الحزين _x000D_
 أنا بخير والضحكة ماليه وجهي",1,0,0,كذبه تواسي قلبي الحزين انا بخير والضحكه ماليه وجهي,كذبه تواسي قلبي الحزين _x<NUM>D_ انا بخير والضحكه ماليه وجهي
"لأسف أول ماقريت البوست هبطت عليا موجة إكتئاب فاجأة_x000D_
متلازمة ال دي لازم ألاقيلها حل",1,0,0,لاسف اول ماقريت البوست هبطت عليا موجه اكتئاب فاجاه متلازمه لازم الاقيلها,لاسف اول ماقريت البوست هبطت عليا موجه اكتئاب فاجاه_x<NUM>D_متلازمه ال دي لازم الاقيلها حل
شكلي داخله ع اكتئاب محترم,1,0,0,شكلي داخله اكتئاب محترم,شكلي داخله ع اكتئاب محترم
هُدوء غاضب ، أو رُبما إكتئاب هادئ ، أحدهما بي الآن بالتأكيد .,1,0,0,هدوء غاضب ربما اكتئاب هادئ احدهما الان بالتاكيد,هدوء غاضب ، او ربما اكتئاب هادئ ، احدهما بي الان بالتاكيد .
حالة إكتئاب كُل يوم تَتجدّد بِلا نهاية,1,0,0,حاله اكتئاب يوم تتجدد بلا نهايه,حاله اكتئاب كل يوم تتجدد بلا نهايه
هل الانتحار راح يسب صدمه لناس عندي ولا مش مهم,1,0,0,الانتحار راح يسب صدمه لناس عندي ولا مهم,هل الانتحار راح يسب صدمه لناس عندي ولا مش مهم
أنا ف إكتئاب م بداية ٢٠٢٠ ولتوا عسباها نفسيتي زيرو ونين,1,0,0,انا اكتئاب بدايه ٢٠٢٠ ولتوا عسباها نفسيتي زيرو ونين,انا ف اكتئاب م بدايه <NUM><NUM><NUM><NUM> ولتوا عسباها نفسيتي زيرو ونين
كسم الاكتئآب اكره موت وربي اكره,1,0,0,كسم الاكتئاب اكره موت وربي اكره,كسم الاكتئاب اكره موت وربي اكره
قلق قلق,1,0,0,قلق قلق,قلق قلق
